Account,Sentiment,Total_PnL,Avg_PnL,Trades,Avg_Size,Win_Rate
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1639363.095505,217.6530928710834,7532,5502.724389272438,0.32488050982474775
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,722210.9813250001,51.36270402709623,14061,2427.2451696180924,0.5276296138254747
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,453595.31817600003,656.4331666801737,691,9928.857409551374,0.27206946454413894
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,351965.440509,447.22419378526047,787,1650.7591994917407,0.6442185514612452
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,306664.249464,47.55221731493255,6449,2897.795917196465,0.8356334315397737
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,236436.934283,155.65301796115867,1519,13234.26366688611,0.10204081632653061
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,208241.157953,43.56509580606694,4780,16853.717506276153,0.3384937238493724
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,163047.664946,48.06829744870283,3392,36181.2002446934,0.35170990566037735
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,139202.552615,13.319543834561285,10451,456.0852483015979,0.4456032915510477
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,123774.526244,45.041676216885,2748,3056.509141193595,0.3049490538573508
