Account,Sentiment,Total_PnL,Avg_PnL,Trades,Avg_Size,Win_Rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1238142.768956,659.2879493908413,1878,16916.688365282214,0.5181043663471778
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,882790.353636,52.18362319773009,16917,3585.7348016787846,0.46680853579239817
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,463478.122344,194.5751982972292,2382,12035.890978169606,0.3677581863979849
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,343414.90621,526.7099788496932,652,1854.9563036809816,0.5690184049079755
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,296044.39622,46.790642677414255,6327,36103.02869922554,0.3668405247352616
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,274510.251146,175.07031323086736,1568,9304.179292091838,0.4375
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,164006.22599,86.1377237342437,1904,2618.9213970588235,0.29516806722689076
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,109109.360637,686.2223939433962,159,4821.791949685535,0.2389937106918239
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,102710.06749100001,27.433244522168806,3744,1611.3512126068376,0.32398504273504275
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,86752.889088,4.824966022691879,17980,1487.126349833148,0.3869299221357063
